Orders,Total Matches,Shares Sold,Dollars Traded,Time
200000,156892,195764846.224240,498846756,0.303221,

Price,Quantitiy Traded,BuyerID,SellerID
1.164175,1152.579358,6,3
1.773295,1227.148539,137,136
4.076841,887.067200,249,132
2.879410,774.712252,360,387
1.393377,923.828665,369,521
3.702170,1166.754502,638,527
1.759480,4156.495686,770,772
1.018168,165.973552,898,909
2.908540,447.178088,1034,1032
1.691344,1221.561749,1171,1172
3.823097,602.989386,1307,1249
2.048651,2177.325110,1409,1426
2.776518,215.557853,1554,1545
2.728785,372.015363,1658,1669
1.953555,462.585610,1783,1784
1.409423,143.287458,470,1914
1.944148,2770.545373,2030,2029
2.278292,1170.289163,2158,2157
3.096147,221.945208,2287,2273
1.532337,1340.611151,2392,2412
3.034323,206.376982,2529,2528
1.815504,796.676137,2633,2634
1.269450,1173.728521,2763,2766
3.805425,594.349768,2889,2874
3.816082,2200.816473,3012,2999
3.892443,1597.463976,3148,3051
1.594904,493.812578,3256,3268
3.672773,768.472004,3380,3381
3.061305,464.027402,3508,3503
1.549066,1659.053013,3530,3633
4.044882,1290.855731,3764,3601
2.892123,187.079346,3912,3905
1.288048,3142.411907,4053,4055
1.805643,475.515248,4164,4167
3.468528,2947.705453,4295,4286
1.247905,86.518197,4419,4424
3.753478,2539.516423,4523,4475
2.902649,2708.798251,4654,4636
4.077636,731.765110,4756,4605
3.832273,1396.882596,4896,4832
3.030116,460.448783,5048,5042
2.305875,514.100727,5152,5151
3.393042,704.180287,5283,5258
3.618502,578.247992,5390,5382
4.042255,752.213647,5513,5016
4.097694,1756.268477,5634,5589
1.056066,540.307048,5762,5763
2.817936,167.071198,5893,5888
2.172311,611.383720,5924,6017
1.156078,286.548505,5911,6128
1.744791,276.496554,6217,6254
2.433565,2195.765120,6383,6370
1.531278,3324.397763,6523,6526
3.822694,777.411212,6645,6644
2.811223,1160.494872,6753,6739
1.882124,258.551214,6894,6883
1.770824,3379.738503,6412,7034
2.694498,1229.892547,7149,7156
1.172038,1118.602250,7220,7280
1.946174,926.543527,7380,7375
2.786861,795.834498,7527,7531
1.828185,2447.781228,7648,7650
3.009566,2441.521315,7776,7771
3.409356,3288.804364,7897,7888
1.818082,304.202391,8007,8005
1.455124,3617.474676,8124,8136
4.030186,3311.724167,8252,6567
